Member,Order,SKU,Created On,Description,group
M09736,6624000,34989440,6/8/14 8:14,Other Rice Products,train
M09736,6624000,7572303,6/8/14 8:14,Namkeen,train
M09736,6624000,15668478,6/8/14 8:14,Banana,train
M09736,6624000,21409124,6/8/14 8:14,Sugar Cubes,train
M09736,6638454,15669830,10/8/14 9:40,Other Rice Products,train
M09736,6638454,7572303,10/8/14 9:40,Namkeen,train
M09736,6638454,15668688,10/8/14 9:40,Root Vegetables,train
M09736,6638454,15668685,10/8/14 9:40,Beans,train
M09736,6638454,15669856,10/8/14 9:40,Sugar,train
M09736,6638454,15669789,10/8/14 9:40,Boiled Rice,train
M09736,6638454,15668478,10/8/14 9:40,Banana,train
M09736,6638454,15669767,10/8/14 9:40,Urad Dal,train
M09736,6656240,15669965,28-07-2014 18:21,Raisins,train
M09736,6656240,7570594,28-07-2014 18:21,Shoe Polish,train
M09736,6656240,15668478,28-07-2014 18:21,Banana,train
M09736,6656240,7572303,28-07-2014 18:21,Namkeen,train
M09736,6656240,15669970,28-07-2014 18:21,Cashews,train
M09736,6656240,15668381,28-07-2014 18:21,Other Vegetables,train
M09736,6656240,15668685,28-07-2014 18:21,Beans,train
M09736,6656240,7623116,28-07-2014 18:21,Liquid Soaps & Bars,train
M09736,6656240,15669884,28-07-2014 18:21,Whole Spices,train
M09736,6672349,15669856,1/8/14 22:42,Sugar,train
M09736,6672349,34989501,1/8/14 22:42,Other Dals,train
M09736,6672349,34987568,1/8/14 22:42,Whole Spices,train
M09736,6672349,15669777,1/8/14 22:42,Urad Dal,train
M09736,6672349,21409124,1/8/14 22:42,Sugar Cubes,train
M09736,6672349,7572303,1/8/14 22:42,Namkeen,train
M09736,6672349,15669859,1/8/14 22:42,Toor Dal,train
M09736,6672349,15669789,1/8/14 22:42,Boiled Rice,train
M09736,6672349,15669823,1/8/14 22:42,Whole Spices,train
M09736,6672349,93025752,1/8/14 22:42,Cream Biscuits,train
M09736,6672349,15668381,1/8/14 22:42,Other Vegetables,train
M09736,6672349,15669760,1/8/14 22:42,Whole Spices,train
M09736,6672349,15669815,1/8/14 22:42,Jaggery,train
M09736,6672349,15668685,1/8/14 22:42,Beans,train
M09736,6687487,34992816,18-07-2014 18:10,Cookies,train
M09736,6687487,7572303,18-07-2014 18:10,Namkeen,train
M09736,6687487,15669856,18-07-2014 18:10,Sugar,train
M09736,6687487,15668478,18-07-2014 18:10,Banana,train
M09736,6687487,7569803,18-07-2014 18:10,Namkeen,train
M09736,6687487,34989501,18-07-2014 18:10,Other Dals,train
M09736,6687487,34989499,18-07-2014 18:10,Other Dals,train
M09736,6704782,21409124,23-07-2014 18:55,Sugar Cubes,train
M09736,6704782,7572303,23-07-2014 18:55,Namkeen,train
M09736,6704782,15669777,23-07-2014 18:55,Urad Dal,train
M09736,6704782,15669830,23-07-2014 18:55,Other Rice Products,train
M09736,6704782,15669865,23-07-2014 18:55,Other Dals,train
M09736,6704782,15669789,23-07-2014 18:55,Boiled Rice,train
M09736,6704782,15669856,23-07-2014 18:55,Sugar,train
M09736,6704782,15669859,23-07-2014 18:55,Toor Dal,train
M09736,6704782,34989440,23-07-2014 18:55,Other Rice Products,train
M09736,6704782,34989441,23-07-2014 18:55,Soya Products,train
M09736,6723554,15668478,9/7/14 23:00,Banana,train
M09736,6723554,7637248,9/7/14 23:00,Mosquito Repellent,train
M09736,6734605,15668468,13-07-2014 08:35,Beans,train
M09736,6734605,15669767,13-07-2014 08:35,Urad Dal,train
M09736,6734605,15668381,13-07-2014 08:35,Other Vegetables,train
M09736,6734605,15668465,13-07-2014 08:35,Root Vegetables,train
M09736,6734605,15669780,13-07-2014 08:35,Sugar,train
M09736,6734605,15670252,13-07-2014 08:35,Organic F&V,train
M09736,6734605,15668688,13-07-2014 08:35,Root Vegetables,train
M09736,6734605,34989441,13-07-2014 08:35,Soya Products,train
M09736,6734605,7572306,13-07-2014 08:35,Snacky Nuts,train
M09736,6734605,15669865,13-07-2014 08:35,Other Dals,train
M09736,6734605,15669970,13-07-2014 08:35,Cashews,train
M09736,6734605,15669859,13-07-2014 08:35,Toor Dal,train
M09736,6734605,15668684,13-07-2014 08:35,Beans,train
M09736,6734605,34989501,13-07-2014 08:35,Other Dals,train
M09736,6743451,15669790,15-07-2014 22:04,Other Rice Products,train
M09736,6743451,15669884,15-07-2014 22:04,Whole Spices,train
M09736,6743451,29247229,15-07-2014 22:04,Whole Spices,train
M09736,6759502,15669884,1/7/14 17:55,Whole Spices,train
M09736,6759502,29247229,1/7/14 17:55,Whole Spices,train
M09736,6774006,15669777,5/7/14 19:18,Urad Dal,train
M09736,6774006,7623116,5/7/14 19:18,Liquid Soaps & Bars,train
M09736,6774006,15669830,5/7/14 19:18,Other Rice Products,train
M09736,6774006,15669874,5/7/14 19:18,Avalakki / Poha,train
M09736,6774006,34986119,5/7/14 19:18,Whole Spices,train
M09736,6774006,15669856,5/7/14 19:18,Sugar,train
M09736,6774006,15669764,5/7/14 19:18,Besan,train
M09736,6774006,15669789,5/7/14 19:18,Boiled Rice,train
M09736,6774006,15669778,5/7/14 19:18,Other Dals,train
M09736,6774006,15669782,5/7/14 19:18,Raw Rice,train
M09736,6774006,7572306,5/7/14 19:18,Snacky Nuts,train
M09736,6774006,15669871,5/7/14 19:18,Other Rice Products,train
M09736,6774006,15668478,5/7/14 19:18,Banana,train
M09736,6774006,15669772,5/7/14 19:18,Other Dals,train
M09736,6774006,15668379,5/7/14 19:18,Other Vegetables,train
M09736,6786934,34987566,19-06-2014 19:34,Whole Spices,train
M09736,6786934,15668416,19-06-2014 19:34,Banana,train
M09736,6794402,15668381,22-06-2014 12:24,Other Vegetables,train
M09736,6794402,92436826,22-06-2014 12:24,Washing Bars,train
M09736,6794402,15669767,22-06-2014 12:24,Urad Dal,train
M09736,6794402,15669803,22-06-2014 12:24,Cashews,train
M09736,6794402,34987569,22-06-2014 12:24,Powdered Spices,train
M09736,6794402,15669830,22-06-2014 12:24,Other Rice Products,train
M09736,6794402,15669863,22-06-2014 12:24,Moong Dal,train
M09736,6794402,7572306,22-06-2014 12:24,Snacky Nuts,train
M09736,6794402,21409002,22-06-2014 12:24,Moong Dal,train
M09736,6794402,15669772,22-06-2014 12:24,Other Dals,train
M09736,6794402,15669965,22-06-2014 12:24,Raisins,train
M09736,6794402,15668375,22-06-2014 12:24,Root Vegetables,train
M09736,6794402,15669789,22-06-2014 12:24,Boiled Rice,train
M09736,6794402,34990774,22-06-2014 12:24,Eggs,train
M09736,6794402,15669856,22-06-2014 12:24,Sugar,train
M09736,6794402,15668685,22-06-2014 12:24,Beans,train
M09736,6794402,15669811,22-06-2014 12:24,Almonds,train
M09736,6794402,15668478,22-06-2014 12:24,Banana,train
M09736,6811376,34992815,27-06-2014 20:15,Cookies,train
M09736,6811376,15669815,27-06-2014 20:15,Jaggery,train
M09736,6811376,7569805,27-06-2014 20:15,Namkeen,train
M09736,6811376,15669859,27-06-2014 20:15,Toor Dal,train
M09736,6811376,34990774,27-06-2014 20:15,Eggs,train
M09736,6811376,15668375,27-06-2014 20:15,Root Vegetables,train
M09736,6811376,21409124,27-06-2014 20:15,Sugar Cubes,train
M09736,6811376,15668478,27-06-2014 20:15,Banana,train
M09736,6811376,7572306,27-06-2014 20:15,Snacky Nuts,train
M09736,6811376,15668465,27-06-2014 20:15,Root Vegetables,train
M09736,6811376,15668685,27-06-2014 20:15,Beans,train
M09736,6811376,15669965,27-06-2014 20:15,Raisins,train
M09736,7874962,34989501,11/6/14 10:38,Other Dals,train
M09736,7874962,15669859,11/6/14 10:38,Toor Dal,train
M09736,7874962,15668379,11/6/14 10:38,Other Vegetables,train
M09736,7874962,15668478,11/6/14 10:38,Banana,train
M09736,7874962,7569805,11/6/14 10:38,Namkeen,train
M09736,7874962,7623116,11/6/14 10:38,Liquid Soaps & Bars,train
M09736,7874962,29247171,11/6/14 10:38,Whole Spices,train
M09736,7874962,15668685,11/6/14 10:38,Beans,train
M09736,7874962,15668465,11/6/14 10:38,Root Vegetables,train
M09736,7874962,15668377,11/6/14 10:38,Root Vegetables,train
M09736,7874962,15668468,11/6/14 10:38,Beans,train
M09736,7874962,15669856,11/6/14 10:38,Sugar,train
M09736,7887787,7572306,15-06-2014 08:44,Snacky Nuts,train
M09736,7887787,15669856,15-06-2014 08:44,Sugar,train
M09736,7887787,34989209,15-06-2014 08:44,Corn Snacks,train
M09736,7887787,15669789,15-06-2014 08:44,Boiled Rice,train
M09736,7887787,15668416,15-06-2014 08:44,Banana,train
M09736,7931131,34986125,17-05-2014 12:50,Whole Spices,train
M09736,7931131,15669830,17-05-2014 12:50,Other Rice Products,train
M09736,7931131,15669823,17-05-2014 12:50,Whole Spices,train
M09736,7931131,15669970,17-05-2014 12:50,Cashews,train
M09736,7931131,15668685,17-05-2014 12:50,Beans,train
M09736,7931131,7580802,17-05-2014 12:50,Sunflower Oils,train
M09736,7931131,15668375,17-05-2014 12:50,Root Vegetables,train
M09736,7931131,15669810,17-05-2014 12:50,Almonds,train
M09736,7931131,15668465,17-05-2014 12:50,Root Vegetables,train
M09736,7931131,15668478,17-05-2014 12:50,Banana,train
M09736,7931131,7569805,17-05-2014 12:50,Namkeen,train
M09736,7931131,7572306,17-05-2014 12:50,Snacky Nuts,train
M09736,7931131,15668381,17-05-2014 12:50,Other Vegetables,train
M09736,7931131,34989441,17-05-2014 12:50,Soya Products,train
M09736,7931131,92436826,17-05-2014 12:50,Washing Bars,train
M09736,7931131,15669772,17-05-2014 12:50,Other Dals,train
M09736,7931131,15668468,17-05-2014 12:50,Beans,train
M09736,7931131,15669760,17-05-2014 12:50,Whole Spices,train
M09736,7931131,34989440,17-05-2014 12:50,Other Rice Products,train
M09736,7931131,15669821,17-05-2014 12:50,Whole Spices,train
M09736,7931131,15669789,17-05-2014 12:50,Boiled Rice,train
M09736,7931131,21409124,17-05-2014 12:50,Sugar Cubes,train
M09736,7931131,15669856,17-05-2014 12:50,Sugar,train
M09736,7931131,15669777,17-05-2014 12:50,Urad Dal,train
M09736,7948600,7569805,23-05-2014 23:27,Namkeen,train
M09736,7948600,21409124,23-05-2014 23:27,Sugar Cubes,train
M09736,7948600,15668478,23-05-2014 23:27,Banana,train
M09736,7948600,7624788,23-05-2014 23:27,Ghee,train
M09736,7948600,7547323,23-05-2014 23:27,Liquid Soaps & Bars,train
M09736,7948600,7572306,23-05-2014 23:27,Snacky Nuts,train
M09736,7948600,15669772,23-05-2014 23:27,Other Dals,train
M09736,7948600,34989209,23-05-2014 23:27,Corn Snacks,train
M09736,7948600,15669789,23-05-2014 23:27,Boiled Rice,train
M09736,7948600,15668685,23-05-2014 23:27,Beans,train
M09736,7948600,15668375,23-05-2014 23:27,Root Vegetables,train
M09736,7948600,15669965,23-05-2014 23:27,Raisins,train
M09736,7948600,15668468,23-05-2014 23:27,Beans,train
M09736,7948600,15669856,23-05-2014 23:27,Sugar,train
M09736,7948600,15669777,23-05-2014 23:27,Urad Dal,train
M09736,7969005,15668381,7/5/14 8:57,Other Vegetables,train
M09736,7969005,15669861,7/5/14 8:57,Raw Peanuts,train
M09736,7969005,15668521,7/5/14 8:57,Bread,train
M09736,7969005,15668478,7/5/14 8:57,Banana,train
M09736,7980335,7572306,11/5/14 10:52,Snacky Nuts,train
M09736,7980335,15668478,11/5/14 10:52,Banana,train
M09736,7980335,34989501,11/5/14 10:52,Other Dals,train
M09736,7980335,15669777,11/5/14 10:52,Urad Dal,train
M09736,7980335,21409124,11/5/14 10:52,Sugar Cubes,train
M09736,7980335,15668465,11/5/14 10:52,Root Vegetables,train
M09736,7980335,15669859,11/5/14 10:52,Toor Dal,train
M09736,7980335,15669789,11/5/14 10:52,Boiled Rice,train
M09736,7980335,34989440,11/5/14 10:52,Other Rice Products,train
M09736,7980335,15669856,11/5/14 10:52,Sugar,train
M09736,7998535,15668478,23-04-2014 19:21,Banana,train
M09736,8008269,34989440,27-04-2014 08:26,Other Rice Products,train
M09736,8008269,34989499,27-04-2014 08:26,Other Dals,train
M09736,8008269,34989501,27-04-2014 08:26,Other Dals,train
M09736,8008269,93025752,27-04-2014 08:26,Cream Biscuits,train
M09736,8008269,15668379,27-04-2014 08:26,Other Vegetables,train
M09736,8008269,15668468,27-04-2014 08:26,Beans,train
M09736,8008269,15669767,27-04-2014 08:26,Urad Dal,train
M09736,8008269,7580802,27-04-2014 08:26,Sunflower Oils,train
M09736,8008269,15669859,27-04-2014 08:26,Toor Dal,train
M09736,8008269,15668377,27-04-2014 08:26,Root Vegetables,train
M09736,8008269,7594821,27-04-2014 08:26,Instant Noodles,train
M09736,8008269,15668478,27-04-2014 08:26,Banana,train
M09736,8008269,15669789,27-04-2014 08:26,Boiled Rice,train
M09736,8008269,7547323,27-04-2014 08:26,Liquid Soaps & Bars,train
M09736,8008269,15669856,27-04-2014 08:26,Sugar,train
M09736,8014606,7585573,29-04-2014 17:34,Cakes,train
M09736,8026271,15669815,4/5/14 9:52,Jaggery,train
M09736,8026271,15669884,4/5/14 9:52,Whole Spices,train
M09736,8026271,15669764,4/5/14 9:52,Besan,train
M09736,8026271,7569805,4/5/14 9:52,Namkeen,train
M09736,8026271,15668381,4/5/14 9:52,Other Vegetables,train
M09736,8026271,34986129,4/5/14 9:52,Whole Spices,train
M09736,8026271,93025752,4/5/14 9:52,Cream Biscuits,train
M09736,8026271,15668685,4/5/14 9:52,Beans,train
M09736,8026271,29247229,4/5/14 9:52,Whole Spices,train
M09736,8026271,7585571,4/5/14 9:52,Cakes,train
M09736,8026271,15668478,4/5/14 9:52,Banana,train
M09736,8030611,34989440,8/4/14 23:21,Other Rice Products,train
M09736,8039388,15668468,12/4/14 11:47,Beans,train
M09736,8039388,21409124,12/4/14 11:47,Sugar Cubes,train
M09736,8039388,15669777,12/4/14 11:47,Urad Dal,train
M09736,8039388,7580802,12/4/14 11:47,Sunflower Oils,train
M09736,8039388,15668521,12/4/14 11:47,Bread,train
M09736,8039388,34990774,12/4/14 11:47,Eggs,train
M09736,8039388,15668465,12/4/14 11:47,Root Vegetables,train
M09736,8039388,15669772,12/4/14 11:47,Other Dals,train
M09736,8039388,15669965,12/4/14 11:47,Raisins,train
M09736,8039388,15668381,12/4/14 11:47,Other Vegetables,train
M09736,8039388,7547323,12/4/14 11:47,Liquid Soaps & Bars,train
M09736,8039388,7572306,12/4/14 11:47,Snacky Nuts,train
M09736,8039388,15668379,12/4/14 11:47,Other Vegetables,train
M09736,8039388,15669783,12/4/14 11:47,Sooji & Rava,train
M09736,8039388,15668416,12/4/14 11:47,Banana,train
M09736,8039388,15669856,12/4/14 11:47,Sugar,train
M09736,8044079,15668416,14-04-2014 08:12,Banana,train
M09736,8044079,15669789,14-04-2014 08:12,Boiled Rice,train
M09736,8052390,15669804,18-04-2014 09:37,Cashews,train
M09736,8052390,29247171,18-04-2014 09:37,Whole Spices,train
M09736,8052390,15668468,18-04-2014 09:37,Beans,train
M09736,8052390,15668465,18-04-2014 09:37,Root Vegetables,train
M09736,8052390,15669815,18-04-2014 09:37,Jaggery,train
M09736,8052390,7623116,18-04-2014 09:37,Liquid Soaps & Bars,train
M09736,8052390,15669963,18-04-2014 09:37,Raisins,train
M09736,8052390,21409124,18-04-2014 09:37,Sugar Cubes,train
M09736,8052390,15669830,18-04-2014 09:37,Other Rice Products,train
M09736,8052390,7585571,18-04-2014 09:37,Cakes,train
M09736,8052390,15669856,18-04-2014 09:37,Sugar,train
M09736,8052390,15669965,18-04-2014 09:37,Raisins,train
M09736,8052390,15668462,18-04-2014 09:37,Gourd & Cucumber,train
M09736,8052390,7753739,18-04-2014 09:37,Health Drinks,train
M09736,8057553,15669863,20-04-2014 11:54,Moong Dal,train
M09736,8057553,15669860,20-04-2014 11:54,Moong Dal,train
M09736,8057553,92436826,20-04-2014 11:54,Washing Bars,train
M09736,8057553,15669858,20-04-2014 11:54,Boiled Rice,train
M09736,8057553,7572306,20-04-2014 11:54,Snacky Nuts,train
M09736,8057553,7608484,20-04-2014 11:54,"Shaving Cream, Foam & Gels",train
M09736,8057553,21409124,20-04-2014 11:54,Sugar Cubes,train
M09736,8057553,7569805,20-04-2014 11:54,Namkeen,train
M09736,8057553,15668416,20-04-2014 11:54,Banana,train
M09736,8057553,15668377,20-04-2014 11:54,Root Vegetables,train
M09736,8062224,7572306,26-03-2014 19:10,Snacky Nuts,train
M09736,8062224,15668478,26-03-2014 19:10,Banana,train
M09736,8062224,34990774,26-03-2014 19:10,Eggs,train
M09736,8062224,15669856,26-03-2014 19:10,Sugar,train
M09736,8062224,15668467,26-03-2014 19:10,Beans,train
M09736,8062224,15668381,26-03-2014 19:10,Other Vegetables,train
M09736,8062224,7623116,26-03-2014 19:10,Liquid Soaps & Bars,train
M09736,8062224,15669777,26-03-2014 19:10,Urad Dal,train
M09736,8062224,21409124,26-03-2014 19:10,Sugar Cubes,train
M09736,8062224,15669965,26-03-2014 19:10,Raisins,train
M09736,8062224,92436826,26-03-2014 19:10,Washing Bars,train
M09736,8068900,7572306,29-03-2014 10:43,Snacky Nuts,train
M09736,8068900,34991187,29-03-2014 10:43,Bread,train
M09736,8068900,15669804,29-03-2014 10:43,Cashews,train
M09736,8068900,7569805,29-03-2014 10:43,Namkeen,train
M09736,8068900,15668478,29-03-2014 10:43,Banana,train
M09736,8087495,7572306,5/4/14 11:43,Snacky Nuts,train
M09736,8087495,21409124,5/4/14 11:43,Sugar Cubes,train
M09736,8087495,34989441,5/4/14 11:43,Soya Products,train
M09736,8087495,15668381,5/4/14 11:43,Other Vegetables,train
M09736,8087495,15669777,5/4/14 11:43,Urad Dal,train
M09736,8087495,93025752,5/4/14 11:43,Cream Biscuits,train
M09736,8087495,34989501,5/4/14 11:43,Other Dals,train
M09736,8087495,34989595,5/4/14 11:43,Raisins,train
M09736,8087495,15669863,5/4/14 11:43,Moong Dal,train
M09736,8087495,15669871,5/4/14 11:43,Other Rice Products,train
M09736,8087495,15669859,5/4/14 11:43,Toor Dal,train
M09736,8087495,15668468,5/4/14 11:43,Beans,train
M09736,8087495,15668465,5/4/14 11:43,Root Vegetables,train
M09736,8087495,15669856,5/4/14 11:43,Sugar,train
M09736,8087495,15668416,5/4/14 11:43,Banana,train
M09736,8087495,15668377,5/4/14 11:43,Root Vegetables,train
M09736,8087495,15669965,5/4/14 11:43,Raisins,train
M09736,8087495,15669797,5/4/14 11:43,Raisins,train
M09736,8093634,7585571,7/4/14 12:37,Cakes,train
M09736,8104219,15668381,15-03-2014 23:06,Other Vegetables,train
M09736,8104219,7569805,15-03-2014 23:06,Namkeen,train
M09736,8104219,15668468,15-03-2014 23:06,Beans,train
M09736,8104219,21409124,15-03-2014 23:06,Sugar Cubes,train
M09736,8104219,7572306,15-03-2014 23:06,Snacky Nuts,train
M09736,8104219,15668685,15-03-2014 23:06,Beans,train
M09736,8104219,15669815,15-03-2014 23:06,Jaggery,train
M09736,8104219,34988771,15-03-2014 23:06,Other Sweets,train
M09736,8104219,15669856,15-03-2014 23:06,Sugar,train
M09736,8104219,15668521,15-03-2014 23:06,Bread,train
M09736,8104219,15668416,15-03-2014 23:06,Banana,train
M09736,8104219,15668377,15-03-2014 23:06,Root Vegetables,train
M09736,8116554,15668453,21-03-2014 21:16,Brinjals,train
M09736,8116554,15669772,21-03-2014 21:16,Other Dals,train
M09736,8116554,15668416,21-03-2014 21:16,Banana,train
M09736,8116554,15669760,21-03-2014 21:16,Whole Spices,train
M09736,8116554,15668468,21-03-2014 21:16,Beans,train
M09736,8116554,15669821,21-03-2014 21:16,Whole Spices,train
M09736,8116554,15668521,21-03-2014 21:16,Bread,train
M09736,8116554,15669830,21-03-2014 21:16,Other Rice Products,train
M09736,8116554,15669789,21-03-2014 21:16,Boiled Rice,train
M09736,8116554,15668377,21-03-2014 21:16,Root Vegetables,train
M09736,8116554,15669810,21-03-2014 21:16,Almonds,train
M09736,8116554,7572306,21-03-2014 21:16,Snacky Nuts,train
M09736,8132674,15668416,28-02-2014 19:57,Banana,train
M09736,8132674,15668684,28-02-2014 19:57,Beans,train
M09736,8132674,15669859,28-02-2014 19:57,Toor Dal,train
M09736,8132674,15669810,28-02-2014 19:57,Almonds,train
M09736,8132674,15669865,28-02-2014 19:57,Other Dals,train
M09736,8132674,15668377,28-02-2014 19:57,Root Vegetables,train
M09736,8132674,15669772,28-02-2014 19:57,Other Dals,train
M09736,8132674,21409124,28-02-2014 19:57,Sugar Cubes,train
M09736,8132674,15668468,28-02-2014 19:57,Beans,train
M09736,8132674,15669789,28-02-2014 19:57,Boiled Rice,train
M09736,8132674,15669856,28-02-2014 19:57,Sugar,train
M09736,8132674,15668381,28-02-2014 19:57,Other Vegetables,train
M09736,8132674,15669830,28-02-2014 19:57,Other Rice Products,train
M09736,8132674,7572306,28-02-2014 19:57,Snacky Nuts,train
M09736,8132674,15668521,28-02-2014 19:57,Bread,train
M09736,8132674,34990774,28-02-2014 19:57,Eggs,train
M09736,8132674,7569805,28-02-2014 19:57,Namkeen,train
M09736,8143489,34990774,4/3/14 10:53,Eggs,train
M09736,8143489,7569805,4/3/14 10:53,Namkeen,train
M09736,8143489,15668416,4/3/14 10:53,Banana,train
M09736,8143489,15669772,4/3/14 10:53,Other Dals,train
M09736,8143489,15668685,4/3/14 10:53,Beans,train
M09736,8143489,15668462,4/3/14 10:53,Gourd & Cucumber,train
M09736,8143489,15668465,4/3/14 10:53,Root Vegetables,train
M09736,8143489,15668451,4/3/14 10:53,Brinjals,train
M09736,8143489,15668468,4/3/14 10:53,Beans,train
M09736,8143489,15668381,4/3/14 10:53,Other Vegetables,train
M09736,8143489,34989441,4/3/14 10:53,Soya Products,train
M09736,8143489,7570695,4/3/14 10:53,Hair Oil,train
M09736,8143489,15669799,4/3/14 10:53,Raisins,train
M09736,8156232,15668416,9/3/14 22:52,Banana,train
M09736,8156232,21409124,9/3/14 22:52,Sugar Cubes,train
M09736,8156232,15669778,9/3/14 22:52,Other Dals,train
M09736,8156232,34990774,9/3/14 22:52,Eggs,train
M09736,8156232,15668521,9/3/14 22:52,Bread,train
