rating,review
2,"The quality of the garment is high--a nice substantial yarn and a pretty crochet pattern, but the cut was totally off for me. i'm usually an xs/s, and was swimming in the xs. the arms in particular were huge and drapey, and the whole thing just hung on me (for reference, i'm 5'4"", 120 lbs)."
5,
5,"I love this dress for fall. it is slightly sheer, so i would recommend wearing tights or a slip underneath, but it is lightweight enough for fall that i can transition the dress into the season as it gets colder. one note -- i am 5'1"", and was required to size down to an xs in this dress due to length. the xs is perfect for work, as it hits me slightly above my knees."
3,"This dress is not what i expected. the bottom half is wool-like material-looks like someone has worn it. the top snags easily so you must be careful when wearing jewelry. when i received the dress i noticed there were two small holes under the arms. i wouldn't of paid full price but for the amount, i sewed up the holes and packed it away for winter."
5,Love love this skirt! quality is great and so comfortable. you can even do this skirt with boots and sweater in colder months! so glad i got it!!
3,This dress is tricky. the fabric is very thin and the under slip it comes with runs small. i wear it with my yoga shorts underneath. the fabric is a very thin linen. my husband loves me in this dress so that a huge pro. its very light and cool perfect for the summer time.
5,"The print, length and cut are all flattering. i bought the other tiny dress that was similar and will buy every pattern they make."
5,"I bought this to wear to holiday parties, but it would work for any special occasion. the embroidery is gorgeous and really pops on the black background. the dress itself is a brushed cotton that is thick enough to not to show every bulge. i said it runs tts. i bought the size 2 and normally would wear a 2 or 4 in retailer dresses. the dress is fitted through the torso and flairs at the hips, so you may want to size up or down depending on your body type.. i did not have any issue with the armhole"
4,"Size down as the top looks too big at the shoulders of you get your normal size. i don't find the material  too see through. it's light, flowy and pretty. not your average boring looking top. unique."
5,"I have a short torso and this works well for me. 34c, bought the 0. there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way. definitely doesn't hang and have extra fabric like on the model. 

zipper goes almost all the way down to the bottom so it's easier to get on and off which makes up for the lack of stretch n the fabric.

unlike another reviewer, i found it went really well with navy pants and i wore it to a business meeting under a blazer. wi"
5,"This dress stunning for the hourglass figure. the hips may be a little narrow. i bought the 6p and 4p and the 4p fit best. i read some reviews that said the hips were snug. it's true- a little difficult to sit down haha but the dress is so flattering. shoulders are a little loose, and i have pretty broad shoulders and a full chest. i'm 5'4, 32dd, waist 27 and 130 lbs."
5,"This is a beautiful top, the pattern reminds me very much of mola designs stitched in panama. i love the contrast of the red stitching against the white background. i'm not as crazy about the buttons on the back sides- not sure what that detail adds to the piece. it is a boxy shape, so be aware it's not going to hug the figure. the cotton is soft and medium weight. overall, it's a stand-out!"
4,"I ordered the red and the the fit is great but the red is actually magenta, not red at all. i'm returning and ordering in a different color."
5,"This dress truly is a work of art and i am becoming a little obsessed with byron lars' clothing line. this is my 3rd dress by him and i have been a size 2 in the other dresses. the 2 does fit in this dress but it is a little snug. not sure if a 4 would look as good because it is meant to be form fitting. the panels trick the eye into making you look thinner too. my dimensions 32c,26,33. it fits perfectly in the hips and waist but is tight on top."
5,"Love this top! a new take on traditional flannel. yes it is pricey for flannel, yes it is not thick like a traditional flannel shirt but it is feminine, sexy, comfortable....even my husband liked it on me. i ordered a regular small, wish i would've went for a petite x-small, however they are sold out. regardless i am keeping :-) for reference i am 5'3, 110-115 and the small is definitely roomy."
1,"I ordered these twice just to be sure there wasn't a glitch. the color is so off! the picture shows a dark blue denim, but they are not they are a light blue - with whiskering! retailer you need to have a better image of the color because this is so misleading."
3,Still can't decide if i want to keep this. it's super comfortable but much thinner than expected and the color seems more navy blue than black.
2,I had hoped this blouse would be white - but it is cream in color. it was also more boxy than i thought it would be. i am usually a 4 or a 6 and went with the 6. a size 4 would be a better fit.
2,"Sctrachy, short, boxy, stiff.
loved the idea of this sweater, but this was not what i was hoping for"
4,"Received this blouse to wear for the holidays and was not disappointed. the design of the shirt is to be relaxed and flowing. i usually wear a medium which is what i ordered. the shirt fit fine but i probably could of managed with a small if i did not want it as relaxed. so if you are between sizes, you might want to size down. if i did order a small, the sleeves might of been a tad short since i have longer arms. the shirt is sheer, so you will need a cami underneath. i wore a black one which w"
5,"I tried on this jumpsuit on a whim and bought it immediately. finding a jumpsuit for my body type is hard (small chest, rounder in the middle and hips like whoa) but i have to say this one is ridiculously flattering. love the quality and feel of the fabric. i've worn it both braless and with a bandeau and have not needed to wear a shirt underneath, but then again it isn't a piece i plan to wear to work. i'm usually a sz 8/10 and got the medium regular which is perfect. i'm 5'5 and the bottom hit"
5,"This dress is absolutely gorgeous! love, love, love! i am 5'2 and the petite sizing was perfect."
5,"This is one of those 'i need one in every color' kind of shirts. need - not simply want. it is very well constructed. the fabric is the perfect weight and is sooooooo comfortable. the raspberry is a little more dusty rose than pictured online, but it works. i've only had the shirt a couple of day. in addition to wanting to wear it every day, the fabric has not pilled. i'm short-waisted, and i have not had any issue with the high-low hem or cropped length."
5,I just got this dress and i love it! it is classic and beautiful. the zipper is tricky right at the band but otherwise no issue there. i cannot wait to wear it.
5,"This blouse is stunning. i have been wanting it for some time. i finally broke down and purchased it. i am 5' 8"" and about 160lbs. i generally wear size l /size 10. i bought this in a large. i need a medium for sure. i could get away with the large, but it's very flowy. i think the med will be more flattering. i am planning to exchange for a smaller size. i would recommend this blouse for sure. if you want it, buy it. it's often times sold out."
5,"I love this top, i dress it up when i need to be more professional and i dress it down with a pair of cutoffs when it's warm. it is delicate, however, so i try not to wash it too frequently. the front is a bit boxy, which the model demonstrates. the model really encompasses the crisp whiteness of the shirt, the flow of it and the length."
5,"Cute and comfy. seems to fit true to size. flattering and roomy on top for my 34ddd shape, but doesn't make me look pregnant or fat overall, which sometimes happens without a waist to define shape. super cute!"
5,Love these basic t's because there is always a unique cut out which makes them more interesting. fit and wash well.
2,"I wanted this skirt to work! it is soft, comfortable, and cute! unfortunately, it runs to short.  i am 5'8"" and would not be able to pull it off at work. i ordered a bigger size and it still didn't work."
5,"I am 5'7"" and 36a cup. i tried on the small and it fits perfectly. i can see how if i was bustier it could be a problem. it looks better in person, dressy enough for the office but comfortable fabric and nicely shaped. i love this with jeans and can't wait to wear it to work!"
2,"I was so curious to see this skirt. it looks just like pic. really gorgeous bold pattern and a faux suede like fabric. my only problem was that i thought there was too much fabric. i love maxi skirts. i am 5&#39;8&quot; and 136 lbs. it was a bit long on me but just had too much fabric. i have slim hips but this made them look larger. skirt is almost ballroom gown like in its fullness. loved it and someone else might love it but for me, it was too much. wish it worked!"
5,This is a really cute shirt for spring. i love the colored striping and you can dress it up or down. have not worn it yet -- waiting for it to get a little warmer.
4,"This dress is cute and the a line style is quite flattering. a few minor issues: fabric is linen not denim as the name states, petite sizing is still a little large and back zipper doesn't zip down far enough to step into so has to be pulled over head (not that big of a deal). for reference i'm 5'4, 120, 32d and i ordered a petite size 4 and it was a bit large and fell bellow my knees. will be returning for a size 2. fingers crossed!"
3,"I tried this on in a store and it was beautiful except the sizing was way off. i'm 5'11"" and usually a 12 or 14. the 12 was skin-tight and the 14 was so loose it was comical - and even on my super long legs, the cuffs dragged on the floor. plus the lacy panels in the cleavage area are totally see-through and my bra was very visible. i was totally bummed. also incidentally, this didn't seem the best quality. there were strings hanging out of the lacy areas, and the waist tie ties way higher than"
3,"This caught my eye and i tried it on the in the store today (the green). i found it to run a little bit large - i expected the small to fit, but the xs fit me better (better fit in armholes and also less billowy). i really like the way it looks, but ulitimately did not purchase it today. i might reconsider on sale. the flaws (in my opinion) are that it is dry clean only, the skirt is not lined (and should be), and it's a bit overpriced for the quality. but on the other hand, it's very cute and f"
2,"This item is huge. i'm normally a medium, sized down to a small, still massive. couldn't go too much smaller because the buttons would pull at the chest. but the sleeves are very wide, as is the waist. way too much fabric. i had high hopes for this one but it just doesn't work. for reference i love billowy and flowy tops, but this was a tent."
3,"This pretty bohemian dress is murdered by the horrible rayon fabric with metallic thread that feels like little needles pricking my skin. i have a pretty high itch tolerance as wool doesn't bother me too much. i'm not sure how most of the reviewers are tolerating this dress, even with the slip, which doesn't cover the arms and makes me want to tear this dress off. i decided to keep and wear as an autumn/winter dress in which i will remove the slip, wear a deep scoop neck long sleeve top undernea"
3,While i love the green color and the soft waffle knit of this top it was so wide i could have fit two of me standing side by side into it!  i mean it was truly laughable!  don't know what the manufacturer was thinking but this one needs to go back to the drawing board.
5,"This tank/blouse is flowy and i love the design. it was immediately comfortable and seemed true to size. i wore it to a family event with a sweater, black leggings and boots. i'm 5'5,"" 36d and usually wear medium in retailer tops and this fit beautifully from the get go, just love it!"
5,"Soft and cozy, not itchy at all, and it has pockets! i am 5'3, 120lbs, 34dd bra and take this in size small."
4,Im a busty gal at a 34ddd and this was pretty flattering. it showed off my curves and hid my unfit belly with ease. i usually am a small to medium and i ordered large in both the grey and gold stripe and i love them both. they fit flawlessly. very flattering and i like the high neck line
5,"After reading many positive reviews i ordered. sure glad i did. i love the light, airy fabric. it hangs nicely. i am mostly a 12, sometimes a 14. i ordered both sizes and the 14 was a perfect fit. i am very pleased with this purchase. thought it might be too girly and/or young looking on me, but not so at all. i got the white and i certainly like the red detail at the button holes too."
3,"I love the look and feel of these shorts - typically my issue with any sort of cotton or linen shorts these days is that they're practically made of nothing, but these are comfortable and made of decent fabric. however, they run very large. being 100 lbs and about 5', i typically buy size 0 or xs, but these looked a bit ridiculous on me, with how big they are. i tried shrinking them in the wash, since they're 100% cotton, and that helped some, along with getting rid of the creases from shipping"
3,"I have to agree with people who are saying this dress runs small in the hips. even a size 0 is typically roomy on me when it comes to dresses at retailer, but a size 4 in this would have been best on my hips. the size 2 was just a smidge too tight looking and loose on the upper half of my body, which made my waist look thicker than it is, i thought. my boyfriend disagreed and thought it looked nice, but i still didn't buy because my life would not give me many opportunities to wear this thing anyw"
4,I love this dress. it is beautiful and the quality is superb.. i too found it tight in the neck area. i had to untie it as other reviewers have mentioned. nice casual dress.. very comfortable and perfect for vacation this summer.
4,"I first ordered this in the patterned denim. the online photo looks washed out in comparison. the blouse has very pretty detail all along the body and cute brass buttons. the pattern unfortunately looks more vivid in person and as result, i did not like. i brought it to the store and tried on white but it was very sheer (all though the pleating in front helps). i ended up exchanging it with plum which is also beautiful - not as much sheen as shown on the photo, but still beautiful."
4,First i ordered a m. i'm normally a 8-10. the m was too small so i returned and ordered a lg. the lg fits great but there is a huge area of distressing on the shoulder that will turn into a hole. i love this jacket but cannot keep it in its condition. hopefully i will make it to the store soon (there are none w/in an hour of me) and look before i buy.
4,"I was so disappointed in this top. the fabric blend was too thick for summer. the cut was wide across the shoulders, and very narrow and short through the waist. add in the odd splashes in the print, and it spelled disaster.

size: i tend to run between small and xs. i ordered xs. i'm 5'5"" tall, 135 lbs, 34d, 35-29-37, narrow across shoulders, with short arms and long torso.

fit: the cut was so wide across my narrow shoulders that it looked baggy and felt odd. however, the sleeves didn't sl"
4,"I saw this shirt in store a while ago, but could not believe the price and was not about to spend my money on it. however, when it went on sale and there was an extra 40%, i decided to get it. i like the top, it's cute and fun. however, it does poof out a little in the midline. this top goes great with jeans or shorts, and it is cute, but definitely not worth full price for this."
5,"I have a couple of pair of hei hei pants from last summer that i love and was so happy to see these. i am curvy (5'8"" size 8) and got these in a 30 and they fit perfectly in the hips and no gap at the waist. i love them so much that i bought a second pair. the only thing that could make them better is if they had a bit of stretch."
5,"These pants are so comfortable and fit exactly as i expected. i love the variety of fun colors (i went with the gold). they are cooler than jeans, but just as versatile. i am 5'10"" and the length on me is the same as the model."
5,"Surprisingly flattering on, especially with pants/jeans. extremely figure flattering because it enhances the figure and hides flaws: the pleating enhances the bust, the v-cut provides a touch of a peekaboo (not enough to show cleavage but it's there in a super flattering way), the hem flares out a bit to hide the tummy and enhance the bust even more; the short sleeves are versatile so it can be worn in the office, under a jacket, or just plain for going out. the material is not too thick but not"
4,"I didn't love it enough to buy it, but did think it was cute. i am wearing a medium in the photos and for reference my measurements are 38-30-40."
5,"I get so many compliments every time i wear this dress. friends, strangers, younger, older and even the pharmacist at my drugstore wanted to know where i bought the dress. it has a 70's vibe to it, fun and swingy. perfect for fall in florida with sandals or when it gets cooler, i think it will look great with leggings and boots. i purchased the orange and dark gray in a medium petite (i'm 5'4' and 135) and it hit just above my knee. my favorite dress right now!"
5,
4,"First of all, i've noticed that maeve is running big, i'm normally a size medium or 6 and two occasions now i've needed a size small and this is no different. of course i ordered the medium and would need to exchange it if i want it to fit better. it's loose allover. the only reason i'm not exchanging it is that the color washes my olive skin color. other than that it's a beautiful dress, it hist at the same spot on the leg as in the model's pictures. for reference, 5'9"", 36b, 29"", 38""."
5,"I absolutely love this bra-it is the most comfortable, aesthetically pleasing sports bra i have ever owned. i love the straps! they take some patience to get aligned properly once the bra is one, but afterward it looks amazing. the bra itself is soft and the padded inserts actually stay in place without much manipulation so they are aligned properly. when moving, i do not have any areas that rub or get irritated uncomfortably. i absolutely love this bra. it gives me the support i need for a high"
5,"Spotted this beauty in my local store - hanging (grrr) which made it stretch out. note that it's made of linen, cotton, and acrylic, so it's not heavy, it's weighty. anyways, it seemed to run large just due to gravity, so i ended up ordering it so it wasn't all stretched out. it's got a beautiful a-line cut - perfect for us bottom-heavy gals. love the colored thread woven throughout. worth the extra $."
5,"I didn't think anything of this top online (i really don't care for how they styled it) but in store it was more interesting. i'm currently anywhere between a 2-4-6 / xs-s-m, depending on the style, 5'3"" 120lb 34b. size 2 regular in this top fit me perfectly. for some reason, on me, the sleeves were elongating and flattering (closer to my elbow) and the overall length hit me perfectly at the hip like on the model, the fabric is lightweight and therefore slightly sheer but, due to the color and p"
5,"I didn't pay much attention to this shirt on the website...when i was in the store yesterday though, i grabbed the green color because it's so pretty! i went back home to see which shirt this was on the website and was surprised. the picture here really doesn't do it justice. it's very soft, has a beautiful and flattering necklace and the flutter sleeves hang nicely rather than puffing out (like snow white...which isn't my goal!). also, because the sleeves drape nicely, you could wear it under s"
5,"This suit is perfect in every way! (the leg opening could be a little bigger for the size) i would be a small if the leg openings were a bit bigger.

please please offer another suit before december 2015 so i can buy for our cruise!!!"
4,"These shorts are comfortable but so stylish. even though, i love many of retailer shorts, these are one of my favorites."
3,The dress is adorable and has a very nice fabric and a slip that goes underneath. it was just too big for me even as a swing dress.
4,"I think it's prettier in person. the color is a little brighter in reality, and the beading on the lower half is in 2 colors (green and gray), which isn't apparent in the photo. although i would consider it true to size, it's a full looking top. i'm 5'8', and both the sleeves and the length are not as long on me as they are on the model. it's a bit sheer, but i personally found it to be fine with a nude bra. cute vintage look."
5,"I ordered this in a petite (i'm 34b, 26 waist, 36 hips, and size 4p fits perfectly) and it fits very well everywhere. however, i think if you're bigger than 34b, size up, because this top is very fitted around the bust. the bottom hem falls right below my belly button, the neckline is not too low and not too high. i chose black because i feel that there are a lot of details and can be toned down with a darker color. i think this top must be fitted for a tailored look, or otherwise one may risk t"
1,"Quality was not what you expect from retailer, especially for the price. top is lined but skirt is not. material is tissue paper thin and see thru. there is a point at the bottom of the sweetheart neckline that does not lay flat, it keeps popping up. however the back is very cute and for that i wanted to love it but too many negatives. was returned."
5,"This dress is extremely comfortable. the dress is slightly loose under the armpits, but the other than that the overall fit is great. can be dressed up or down!"
5,"This top looks exactly as pictured, it is a little more billowy but i liked that about it. i found that it ran true to size and i am 5'8'', 128lbs and ordered a small. i am going to order the white because the cut is super cute."
3,"Cute shirt but no worth full price for sure. runs small in the bust. and i am not busty at all. definitely order up a size. i am returning mine, however, because of size and price."
5,
5,I love this dress! i generally wear size 10 and the medium fits perfect. i'm a curvy lady and this dress fits great. i've received many compliments on it and might even get another pattern because i love it so much!
4,"I purchased this dress in the blue version. its a lovely dress that would be perfect for summer. the dress fit tts on me .. it is a little low in the neck area and it is a little uncomfortable in the torso area. i am on the fence about keeping it. the skirt is flouncy, cute and fun. i hope i can get it to work"
5,"I bought this dress online to wear to work and i did not expect anything too impressive based on the picture of the model. i am really surprised at how beautiful, well-fitting, and soft this dress is. i am in love. it fits snugly, but the fabric is so thick that it is still very office appropriate (i work at a law firm). i ordered the small petite and it comes to the top of my knees."
5,"This dress is very flattering and has wonderful movement, i'm so happy that it went on sale! definitely worth it!"
4,"I absolutely love the fit and look of these jeans. i am 5'4"" and they fit perfectly. but oh my....the smell! it's like burnt chemicals. i don't know if it's just this pair, or a problem with this dye in general. any one find any solution to this? doesnt seem to go away with washing. may have to return these jeans if i can't get rid of the smell. :("
4,"Great fit and quality. i'm 5'3"" and 130 lbs, size 4 fit perfectly. bought both the blue and black. could definitely dress up or down!"
5,"I am a big fan of trench coats and i love that this one is navy. i typically gravitate toward blues because it brings out my eyes and my wardrobe tends to fall in a blue-ish category. i love that the color of this coat will compliment other pieces of clothing in my closet wonderfully.

i especially love the design of the trench with the wider, pleated bottom which allows for fluffier dresses but also creates an illusion that is slimming for anyone's figure. this is a fantastic, unique design for"
5,It's a soft comfy fabric... cute ruffle... may be a little on the bigger side but still super cute! very form fitting but still fits true to size imo the olive color is even more beautiful in person!
4,"Beautifully detailed top that pairs well with dark denim. top is a bit wide, but i think that is the style. a unique and different piece to add to your wardrobe!"
2,"I ordered a small and it is enormous; i usually wear a size 10. it is short but the fullness in the body and the sleeves made me look like a sumo wrestler. also, it is a very heavy knit which would be great for up north but too bulky for atlanta unless the temps are in the 40s. i'm sending it back."
5,I got this shirt in red plaid and love it. super cute without being too trendy. i wore it with shorts and got lots of compliments.
5,Another success! so comfortable and stylish for spring and summer. very lightweight yet not sheer. design is even more appealing in person. a must have for your closet.
4,"Purchased this dress at the sale price, with an additional 20% off sale, not exactly sure what to expect-- the print is so different than my usual style preference. so glad i did! while the dress is way oversized (for reference, i'm 5'4, 132 lbs) ordered size sm but prob should have gone with xs) it's stylish, yet effortless. today is the first day of wear (at my office) and already received many complements."
3,"I like my clothes loose fitting but even for me this ran large, i am 5'7 134b and medium fit in the shoulders but was too big overall"
2,I loved the style so i ordered on line. it runs small and the arm inserts are so low its awkward to wear. i wish the cut was better cause i love the look but not the fit. i am returning this item..
3,I love this blouse but my normal size didn't even come close to fitting me. i think i would have had to go 2 sizes up. too bad cause it is a beautiful top. not good for us busty girls though.
5,"I ordered the ivory in size xl. it is such a cute, comfortable top. all of the details are well-done. the quality of the material is great too. it's a flowy fit. after washing & air-drying, it does shrink a bit. great tee for summer!"
5,"Color of the dress matches color on my monitor. the neckline is sheer. i am 5'4"" ,125 lbs, 32d and ordered a size 6. i thought it fit perfect. this is a great spring/summer dress and can be worn with dress heels or flats for a dressier look. it can also be worm with tennis shoes (white converse are my choice) for a more casual look.

i think this dress could also transition to a fall/winter piece paired with tights and a suit jacket or cardigan. 

also, i love the pockets, though i do see ho"
5,Stunning sweater for cooler weather. i think it runs a little small so returned first one and ordered one size up which fits perfect.
4,"I bought this dress to wear to a pre-wedding event at an out of country beach wedding in late fall, so i bought it a size smaller than normal, but it fits, so i could say it runs a little big. very cute though and i thought even more flattering than i thought it would be from the picture! i'm more top heavy, and it kind of camouflaged that, which is always great!"
4,"I just tried it on and it fits well, with no extra room. it seems like a nice fall piece to have in your wardrobe. the color leans more towards green. now i have to figure out what to put on top when i wear it!
i think it will be cute with boots."
4,"Last minute i needed a family-friendly top for a chilly night, so i tried on a couple of flowy sweaters at retailer and this was the keeper. while i found other styles a bit too boxy or bulky for my short torso, this has a nice a-line shape that gave me a slim profile while still being forgiving, plus the detail up top is feminine and i liked not having fabric piled up around my neck. i am usually a small but wanted this to fit like the model so i sized up to a medium and voila, i am a model. just"
5,"I'm: 34a, 125 lbs, 5'8""
purchased: small

jacket fits well and is not too heavy. didn't feel tight in the arms. great to wear on a cool spring day! i bought the white and grey jacket."
5,"This is a lovely, well-fitting, embroidered, navy tank, i cannot find a flaw in this. i am 5'5, 142 lbs., 34d and the size 6 is a fantastic fit. one of those tops that is so well-cut that it feels as if one is wearing nothing. the lining is impeccably done and is cut perfectly for the blouse. it has a small cut-out in the back at the v. it fits just as the photo shows and is so versatile-it can be worn with everything from jeans to a formal skirt. six stars!"
3,"I'm usually a 6 in dresses and the 6 here fit okay. loose but still flattering a little long for a sundress. i was unhappy with it looking a little frumpy and being so loose under the arms all my bras showed . i took it back to the store and after reading the reviews here decided to try the smaller sizes...well multiple dresses later i ended up buying a size 2 petite!!! and i'm 5'9"". the 2 reg and petite still had the loose gathering look to the top but both fit much better under the arms so tha"
3,"I love the maeve line and was excited to get this dress. unfortunately, the fit was just bad. the top fit fine but the bottom half was too snug and there were unattractive gaps around the waist and the pockets. don't think another size or tailoring would address the issue. for size, i am 5'4"", 130 and ordered the 6."
5,"A sales associate found this for me at my local retailer. i probably would have never thought to try it on. i am 5'1'' and normally a size 8 or a medium. the size small was still too large, so i ordered a size small petite. it fits perfectly, looks adorable on, and is so comfortable. i can't wait for the warm weather to wear it!"
4,"When i first saw this in the store, i loved the idea of this shirtdress with a twist. i tried it on in my usual size 4 but could not get it over my 32d bust. i wrote it off and moved on. back in the store shopping for a party dress, i saw this was now on sale. although not right for the party, i decided to try it in a bigger size. a size 6 was not available but a size 8 was. perfection! if you are willing to size up, you will be rewarded with a comfortable, versatile dress that can be super casu"
4,I tried these on in the store and was unsure about sizing. once they went on sale i bought the xs and have already worn them twice.good transitional grey colored short into fall. need to be ironed or steamed after wearing for a while but comfy and smooth out easily.
5,"So many retailer coats have gotten away from me. sold out before i could purchase. i bought this during the holidays when it went on sale. i did not want this the be the one that got away. so glad i did. the colors are beautiful, the sweater is really a coat. so it justifies the price. what a gorgeous piece to wear with all of my retailer clothes. length of arms was fine on me. i bought a large. i am 5 foot six."
2,"I really wanted to love this dress. i love the colors and the design of the dress. unfortunately, i have to agree with one of the other reviewers that this dress makes you look pregnant. it's so voluminous that it's not flattering at all. also agree that the lining is scratchy."
4,"Cute shirt, nice for layering."
5,"Gorgeous, color, fabric, and cut. i ordered the blue in a 14. i always wear a 14p or large petite in retailer. i purchased a regular 14. it's a full size too small in the ribcage. cannot zip it up.. i'll be exchanging mine for next size up. even though i'm 4'11"", the length is fine. if you're tall, it might be pretty short for you."
5,"I love this shirt! it is so soft and a bit see through, so recommend wearing a camisole underneath. perfect with jeans! the fit is slightly boxy, but works well."
4,"This ia very pretty dress. however, it is a unique design. i like the design of the dress, but i can see where some may not. i can't see a younger person wearing this. it is more for an older woman. the dress is so soft, does wrinkle easily, but just a beautiful pattern and comfortable. i can see some of my friends thinking this is too much like a nightgown, but i really love this dress!"
2,"I've never spent this much money on a sweater but took the plunge using the retailer day discount. still painful but hopeful it would be worth it. i ordered the xl hoping to compensate for the shorter length. and it fell just below my hip bones so that part was okay. while this looks like the cashmere is on the thinner side, so the garment flows nicely, it's not. the weight of the sweater is substantial, heavier and much thicker than it looks. the color is different too. it's tan and grey, not whi"
4,I loved this top... the color is true to screen. the cut is cute. it's a lovely basic top that has just the right twist to it. i loved the fabric. it is see-through but if you wear a nude colored bra under it nothing shows.
5,Purchased these jeans in a 27 and i am usually a 28 in skinny jeans. i got the 26's on but they were snug. these jeans are so comfy and sit higher on the waist. great jeans!
1,"The colors on this kimono are amazing and i really loved it, however, i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad."
5,The jeans are soft and comfortable.  they are the perfect staple in my closet.  more colors please!
3,"This is a cute top, but not worth the price in my opinion. i love the colors, pattern and soft material used. however, the fabric is quite thin and just not worth paying $58."
3,"I have been searching high and low for some good quality jeans. sadly i don't think these are it. i love the design and style of these jeans. great length, great cut, great color unfortunately in the 3 weeks that i have had them they are balling and looking like i've had them for 3 years. i'm so disappointed. and will have to continue on my search. apparently they don't make jeans like they used too?"
3,"I am typically a small at retailer, but always order a small and medium to try since i'm tall. the color of the green is really pretty, and i can see wearing it on the weekend with casual sandals, and dressing it up with a cropped jacket for work. the sizing is way off on this dress, though. the small is too short for me (personally). i'm 5'8"" and the waist doesn't sit low enough for a drop-waisted style. so i tried a medium. the medium is not sized correctly at all. i tried it on and it fits 3 si"
5,I bought this top in the stripe and i'm ordering the black now. it's a nice top to transition from summer to fall (even though the temp. doesn't change much in texas...#. it does run a bit large so size down. held up nicely when washed #hand wash cycle).
4,"If you think you can pull this off by all means try it. the fabric is excellent quality--thick yet soft, and the floral print is lovely (unlike a lot of the prints this season). i am not exactly short (5'6"") and not wide (34-26-36), but this made me look like a houseboat. too bad, as it is such an interesting cut. i ordered down since i can sometimes wear an xs, but the bottom was still voluminous."
5,"This dress is beautiful. it is tts, but since it is so flowy, is not form fitting. i am petite (5'4"" 115lbs) and this is a lot of dress for a shorter/smaller person. if it were less flowy, i would keep it. the design, material and overall product is, however, amazing! this dress would be a beautiful addition to any closet."
