reviews,ratings
"If you don't know the benefits of the Apple ecosystem, this is the phone to introduce you to it and if you use it properly, you will never go backIt's (comparatively) reasonably priced. In fact given it's processor which is the same as one in iPhone Pro which costs more than a lakh plus Apples' updates thay go on for 5-6 years, it's probably better value than most ""cheaper"" phones out there.The camera is great and Touch ID in this age of mask wearing is perfect. Cons - battery isn't as ...READ MORE",5
"Its a steal for 20k! I got it for this price on BBD. While everything is top notch as expected of Apple with a lot of nifty features but the battery sucks bigtime. Considering I changed from a One Plus to iPhone, the battery is quite a concern.READ MORE",4
GoodREAD MORE,4
OkREAD MORE,3
Very nice 👍READ MORE,4
"Performance is to,goodREAD MORE",5
"Value for Money Phone,best performance and photography is as good as DSLR.READ MORE",5
No doubt its a good ph. battery seems to be slight weak rest is fineREAD MORE,4
So handyREAD MORE,4
GudREAD MORE,5
"Its small,sleek and handy. Powered by A13 bionic. So this one is a performance beast in a small body. When it comes to design,its same as iphone 8 but the internals are quite different. It has only one wide angle camera but that one is great. The display is an ips retina display which is not bad. The main drawback is the battery. This phone has 1821mah battery which is too small. If you are a hardcore user then it wont last for a day. And this phone is Ip67 rated and supports wireless and fas...READ MORE",4
NiceREAD MORE,4
GreatREAD MORE,5
Tnx to flipkart.....😊READ MORE,3
"Excellent device, this is my first experience on iPhone , it is really awesome, best performance ever seen, value for money, I think everyone should have it.READ MORE",5
Worth buyingREAD MORE,5
Totally good but no facility of call recordREAD MORE,4
This phone is  greatREAD MORE,5
"Using since 15 days, Till now everything seems goodREAD MORE",5
Good phoneREAD MORE,5
Mic is not workingREAD MORE,1
Excellent performanceREAD MORE,5
"Good deal, value for moneyREAD MORE",5
Great oneREAD MORE,5
NiceREAD MORE,5
Voice is not workingqREAD MORE,5
Battery wasteREAD MORE,1
goodREAD MORE,5
Battery charging time 2.15mins and battery just long lasting for 15 hrs for just calls and Fb..Battery is very very badREAD MORE,1
"this phone is great,  if someone like small size phone then its great product for him.performance is awesome really loved this apple product and also budget phone by apple.READ MORE",5
"If you are not into playing games on mobile and want to enter into apple environment, this is the best phone. Great camera, battery lasting for a day, and of course feel of IOS.On time delivery from Flipkart.READ MORE",5
Battery backup is very less.Other than that everything is fine.READ MORE,5
It’s just perfect !!READ MORE,5
* people who want iphone * who does'nt care about screen size * having this phn as your firat iphone I am hpapy to have it and i dont regret ny decision at all. People who can adjust with screen size and are a moderate user should buy it. Its actually a good deal❤ happy to have it😍🙈💝READ MORE,5
Users shifted from android to iphone may feel not worthy. In this price range we will get better phone in android   But Only satisfactory thing is the Brand and durabilityPerformance is goodSome automation functions are goodCamera AvgFast charging is plus from 20 to 70 % it took 30 to 40 min but to get 100% it took another 2 hoursI liked the size of the mobile so i choose thisREAD MORE,4
"Take Fast, Best IPhone in WorldREAD MORE",5
I wanted a small screen phone bcz I have an IPad for streaming. I’m quite satisfied but I think battery capacity could have been little increased; 1800mAh is way too low.READ MORE,5
Don't buy due to over heating and used products send meREAD MORE,1
1.Good performance2.Call quality  is very clear3.Nice camera4.Phone is handy5.Fast chargingREAD MORE,5
V nyc my first i phone se i m so happyREAD MORE,5
Good phone .READ MORE,4
Good one but battery is not impressiveREAD MORE,4
Nice productREAD MORE,4
Great device at an amazing price.READ MORE,5
Very nice. It has quality which you will experience after buying.READ MORE,5
Super fast deliveryThanks to flip kartREAD MORE,5
Hood phone within budgetREAD MORE,5
Perfect performance phone for who is looking with decent size of display. Small but powerful.Camera is not up to the mark. Glossy back finish gives royal look especially white colour is impressive.Added best feature is wireless charging and 3gb ram.The box comes with only phone and charging cable. No power adapter and ear phone included.READ MORE,5
Satisfaction.....Perfection...That's AppleREAD MORE,5
Superb phone with A13 bionic chipsetREAD MORE,5
Loved itREAD MORE,5
"Very good entry point in apple family at this price. Yes it’s screen is small but for most of the things that we do these days on phone like calls, payments, we don’t need big screen and it’s very handy and very fast.READ MORE",5
"Blazing fast as I updated from iPhone 6 . Wish they could improve the battery backup , included face unlock as option and done full screen in same  overall size..which is taken care in 12 mini!READ MORE",4
Apple must work on batteryREAD MORE,5
Everything is good but battery life is too low.READ MORE,5
"Highly recommend if u won't be bothered about display and battery.The king in the midrange smartphones, if can beat iphone 11 and 11 pro in performance.READ MORE",5
"Performance is top notch, battery is full day easily after disabling background app Refresh ( it doesn’t effect any functionality) and some other tweaks. Camera is fantastic overall value for money if you get this in offer.READ MORE",4
AwesomeREAD MORE,4
Product is nice well camera clarity  nice mobileREAD MORE,5
Value for moneyREAD MORE,5
NiceREAD MORE,5
Nice phone.. recommendedREAD MORE,5
Nice phone with decent battery backup and powerful camera.READ MORE,5
Perfect phoneREAD MORE,5
waste of time and money with flipkartREAD MORE,1
"i have received this phone today, working fine..only annoying thing i Flipkart customer service..READ MORE",3
"First of all d country of origin was China, 2nd d battery life is extremely low!!READ MORE",3
Amazing product 😍👑👑READ MORE,5
It’s amazing Very niceREAD MORE,5
Today is just the first day. Product looks nice. I am very happy with the delivery service phone was booked on 16th. Estimated date was 19th and hurray it was delivered on next day i.e on 17th.READ MORE,4
All it’s about is performanceREAD MORE,5
Best phone everREAD MORE,5
"Pros: Sleek look, better performance, Value for money. Cons: Bad battery life and small screen size.READ MORE",5
WorthyREAD MORE,5
It is very nice phone and in sale under 30k.it is fantastic phone but it..READ MORE,5
Wow super phone performance is soo goodREAD MORE,5
My first iPhone and I Simply loved it. Not for someone who plays games. This is a small beast with great value for money.READ MORE,5
"I’m pretty much satisfied with my purchase of this phone. For all those commenting on the battery life of this phone , it gives a decent 9-10 hrs backup after a full charge which is normally acceptable if u are not a phone frenzy.READ MORE",5
It’s a perfect phone if your a musician and like compact phones which look professional and cool at the same time .I have very big hands but I’m still finding the keyboard satisfactory because of bold letters in settings on iPhone .Although it has A13 Bionic chip this phone can run any game smoothly with ease on high graphics but this phone is NOT FOR GAMING please don’t buy it for gaming .I am an engineering student so I’m finding the apple ecosystem perfect I got used to airdrop I messages...READ MORE,4
"Most people feels that 4.7 inch display size is too small to use but trust me once you start using it its best and handy.Old memories of iphone 6S came back. Its handy to use, nice camera, display, apple IOS 14 experience best in class.Only thing is battery size is too small but its same like iphone 8. Its not for game lovers and people who watch web series, youtube, movies, etc on mobile.Some advantages like water resistant, wireless charging.READ MORE",4
"I was so excited before buying as it was my first apple product, but my happiness falls immediately after doing video calling for 10mins.Phone starts getting hot and it hanged 2-3times in last 2 weeks. All i want to say is be carefully before spending a lott on phones.READ MORE",3
"Good compact phone. Build quality and performance is impressive. Battery is disappointing but at this size there will be limitations on battery capacity. I suppose a separate fast charger is a must for this phone. For someone trying to switch from other OS to IOS, this choice will be most relevant.READ MORE",4
Great value for moneyREAD MORE,5
Great productREAD MORE,5
NiceREAD MORE,4
Great to useREAD MORE,5
Super performance my 1st iPhone Amazing camera📷READ MORE,5
First time flipcart delivery late but ok otherwise produt very goodREAD MORE,4
"❤️❤️❤️❤️ fantastic phone..  camera , battery life is good 😊READ MORE",3
Overall performance....is awesome.. except battery life... worst then any other iPhone...in the lineupREAD MORE,3
Simply Best ❤READ MORE,5
"No charger, No earphone, very bad 😞😟😭READ MORE",2
"Bought for a friend, but a pretty good value for money in expensive apple products :)READ MORE",5
Go for this product without thinking anything.Before buying it i thought that battery performance is very bad but it is equal to iphone 11’s battery.READ MORE,5
Good phone I like itREAD MORE,5
Best phone for those people who love to you small size phone best phone battery also very effectiveREAD MORE,5
Its too good and the camera quality is awesome but the battery isnt enoughREAD MORE,5
This is iphoneREAD MORE,5
"Thanks flipkart for this phone at cost 30,999. Overall best performance for this iPhone at this cost.READ MORE",5
"This is The Best Phone for those, Who will Use This Phone as a Secondary Phone.READ MORE",4
Awsome phone Bartery backup is also good Battery stay one day after 100% chargedREAD MORE,5
Good one... But you can't enable hotspot without mobile data enabled :(... But apart every thing is good.. I expected back panel would be metal... But it is glass.. My mistake of thinking that this back panel would be metal as like iphone 7 curvy finish ...READ MORE,5
excellent productREAD MORE,5
One of the best high end phones by Apple at this rateREAD MORE,5
"The Perfect Small Phone for everydayy use rightly priced this time, if you are on a budget and want an iPhone... This is it ! You won't regret it...!READ MORE",5
"Excellent phone for a moderate user, can last for a day if you just disable all useless services and apps and enable sync only for required services.Loved my first iPhone indeed a great experience ! 👏🏼READ MORE",5
One of the best cost effective iPhone you could get now.READ MORE,5
YoREAD MORE,4
Overall good but battery it shold be moreREAD MORE,4
Thanks for the Service ProviderREAD MORE,4
GoidREAD MORE,5
Super iphone in 2020READ MORE,5
goodREAD MORE,4
"Working well till now, all systems go properlyREAD MORE",5
The best product with all new A13 bionic. Perfect image processingREAD MORE,5
Iphone is iphone man and at the price of 24249 with latest processor and camera and  its amazing and you get the difference when you use itREAD MORE,4
Size is small but performance is next levelREAD MORE,5
The worst battery ever in new iphone SEREAD MORE,3
Hey I am a 13 yr old boy my father gave it to me !!!!!My phonePositive!! 1) Premium quality!!2) nice display!!3)it’s apple4) awesome build quality 5) very impressive Speakers!!6) it’s cheap Negative!!1) SMALL !!!!!!!!!!!!!!!READ MORE,5
"This is a mini beast, It can run PUBG with HDR graphic and extreme framerate without any lag. Battery is good compared to iphone 8. This is my first brand new apple device. It's the best deal from apple ever.READ MORE",5
"My requirements:1. Good quality call connectivity.2. Good camera.3. Handy mobile, not interested in bigger phones. 4. Largely mobile used for calls, whatsapp and youtube. 5. Decent battery. 6. Privacy. (This was one of the most important requirement)This mobile ticks all the requirements. Quality phone for the price point. For above usage scenario mobile will last easily for a day or even more. Im getting 4-5 hrs of SOT. Again it will depend on which application is used. For eg. If ...READ MORE",5
A nice phone. A budget iPhone with most features of iPhone 11.READ MORE,5
"good product value for money, the phone feels premium and white colour is so good..the ios works wonderful, camera is decent,performance is good,battery is low as compared to others..the small and campact size makes it more easy to handle and use ,just fits your hand..great for person who like small and light wieght phone and want home button in iphoneREAD MORE",4
Every one is talking about battery So according to me I played asphalt 9 for 4 hours and watch movie online 2 hours and then battery dropped to 21%from 97% and i did this work continuously and i dnt felt any heating problem .Charging time is queit descent for me it takes 1.5 hrs to charge 97% from 15%.So according to me is worth .Thank  youREAD MORE,5
Great mobile if you are not addicted to cell phones . Battery lasts about a day. Awesome if you like small display phones.READ MORE,4
Awesome mobile for those who like small and handy especially Red is charming 😍READ MORE,5
Got in on big billion sale for 26k. Totally worth it! Great camera and looks stunning. It was delivered on time and the delivery guy took a video while unboxing to make sure the product was right.READ MORE,5
Very very nice product but weak about battery backupREAD MORE,5
Phone is good but not give premium feeling when taken into hand as compared to the old iphones series.READ MORE,4
Worth it ❤️READ MORE,5
I just love this productREAD MORE,5
This is my 1st iOS product and I am loving it Grate value of money Great performance Great camera Overall it’s best Less to expend Lots of love  ❤️❤️❤️❤️READ MORE,5
Gud purchaseREAD MORE,5
Very good product. Value for money.READ MORE,5
Awesome product and overall awesome performanceREAD MORE,5
"The phone is the most value for money piece pf technology you can buy on this store, I have migrated from android and If any android user wants to try ios for the first time, this is the product to go with. Only disadvantage when comparing with other androids is the battery life. Which is average. Not bad. Go for it!!READ MORE",5
"Battery life could have been better.Performance is awesome.Camera, screen quality, RAM management, battery management, call quality etc etc all are awesome.Form factor is really good.. this is what a mobile phone’s size should be. And yet watching a video on this does not make you feel that the screen is small at all! The weight and feel in the hands is just great!However, the claustrophobic that the Apple environment gives due to its restrictions does feel cramping. Still miss using my R...READ MORE",4
"This phone is For those who prefer small compact phones. It  has the A13 chip, giving it the CPU horsepower of the current iPhone 11 seriesREAD MORE",5
Best phone for those people who want a small powerfully deviceREAD MORE,5
Nice cameraREAD MORE,5
Great deal....READ MORE,5
The phone is good but the battery backup is not.READ MORE,4
Love itREAD MORE,5
"A delight in hand ,superb performance, easy to holdREAD MORE",5
Phone is good but battery need be betterREAD MORE,3
This iPhone made for who want to shift 1st time on android to iOS 👌👌👌best in this priceREAD MORE,4
Everything is amazing about this phone apart from batteryREAD MORE,4
Apple iphone se perfect phone for this ratebut flipkart horrible experience this time worst service they provided worst experience from flipkart this time 0 star for flipkart serviceREAD MORE,5
Aswam Performance...READ MORE,5
Except the battery everything is fineREAD MORE,5
NycREAD MORE,5
Hi It Is an great product but comparing to my old phone battery is draining quickly and also charging is slow but if you buy 15 V charger charging will become faster.READ MORE,5
Nice performance everREAD MORE,5
Loved the lookREAD MORE,5
How can subscribe youtube?READ MORE,4
Excellent productREAD MORE,5
My 2nd iPhone 🥰❤️ I just love itREAD MORE,5
"Apt for those who are looking for handy phone. Everything is good with this phone except battery life and adaptor in the package. Full charging of 1800 mah battery will take more than 2 hours with 5 w adaptor in the package.  Otherwise loved the phone in terms of perfomance, camera etc. If you are a gamer, dont think about this phone. If you are a guy who is using whatsapp, fb, instagram and emails, this is a good option. Those who travel, plz be mindful of battery life.READ MORE",4
niceREAD MORE,5
Worth to buy it...and excellent qualityREAD MORE,4
Works very nice.READ MORE,5
Great performance and absolute worth it if you get it in sales. The design looks dated in 2020 but performance and battery life very good if you are not heavy game user.READ MORE,5
HEARTLY Thanks too FLIPKART....READ MORE,5
Best phoneREAD MORE,5
battery is averageREAD MORE,4
"If you want an iPhone buy this is cheap and powerful.This is best for you.I has quite everything that iphone 11 does.It is not so good for gaming, the small screen and less battery will be an issue.READ MORE",4
Very good product from AppleREAD MORE,4
"xerox of iphone 8 , chiset alone differs but an excellent productREAD MORE",5
Good phone in this rangeREAD MORE,5
Battery or camera is not good as per my expatationsREAD MORE,3
AwesomeREAD MORE,5
AmazingREAD MORE,5
Everything is awesome except battery backupREAD MORE,5
"This is my first iPhone. Also this one is first iPhone I have touched. Thanks flipkart for quick delivery and unexpected offer. This is not an smartphone, it is a super phone.READ MORE",5
Best iPhone everREAD MORE,5
Nice product 30999/- price in 128GB Apple SE 2020 with 13 ios 4K video cam.READ MORE,5
The phone is great.  Single camera is better than other company’s quad cam.READ MORE,5
Mobil is brilliant but battery performance is weak otherwise camera is greatREAD MORE,5
As describeREAD MORE,5
Compact yet power packed. I wish apple had give us more battery backup to run this. Unfortunately below average battery backup. As i have an iphone 11 as my daily driver it withstands for a whole day compared to the SE.READ MORE,5
It is good for gentle use. I don't recommend it for gamers.If u are a gentle user and u like small display u can surely go for this mobileREAD MORE,5
The best phone in normal usersREAD MORE,4
"I just have begun using the product. Except for the long duration required for charging, it meets up all ends as claimed.READ MORE",4
NiceREAD MORE,4
As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my ratingREAD MORE,4
"Guys don't go with negative reviews as it is fast as horse. Performance is at peek, camera awsome, battery backup at normal use is compatible for whole day, no issue with battery backup , display is small ut i like itREAD MORE",5
Excellent deviceREAD MORE,5
Getting heated. Need to opt for replacementREAD MORE,1
Hola!!Performance and camera is really good.Small and comfortable to handle.Battery life is the weakest point.Sound quality is excellent.Great deal!!☺️Thank You for fast delivery.READ MORE,4
It is very good product camera is so good and camera has clarity and display has clarity but battery is not sufficient for continues long time user but performance is extra ordinary and very good I phone is father of smartphoneREAD MORE,4
Absolute beast!!!!Performance is top notch. Camera is flagship level. Haptic touch is amazing. Worth every single penny. Battery is OK but if we play games we get less than 6 hours of screen time but when we use normal apps it will give 1 day easily.It is lightweight easy to hold (if u have a case). Charging speed is very slow. Its gets full charged in 2 hours.Overall it is worth buyingREAD MORE,5
Sooo goodREAD MORE,5
"The seller sells two variants of the same phone. One with charger brick, cable, and earphones. The second variant is sold just with a Type-C to lightning cable. And both are priced the SAME! Unfortunately, the first type was not delivered by Flipkart in my locality. And add to that, normal genuine Apple chargers have a USB Type A female port, which basically means the cable supplied with the second variant (Type-C) is useless. The phone is very good though. Just bad experience with Flipkart a...READ MORE",1
Amezing ProductREAD MORE,4
Nice one only issue is battery backup..!!READ MORE,3
Best Buy in 2020READ MORE,4
camera osm  nice product battery life 1 day compatibleREAD MORE,5
It is really good phone.... It's my first iPhone.... 👍READ MORE,5
Very good I am happyREAD MORE,4
It’s original genuine iPhoneREAD MORE,4
IPhone is iPhone no words... It is simply superb and is very user friendly battery back 2days🤞...even after having calls continuously at the end of the day I can see 50%READ MORE,4
Good small phoneREAD MORE,5
Never buy anything from Flipkart. Apple product standard is as is. But Flipkart is simply ridiculous & 3rd class place to buy. It had shown that on exchange policy minimum it will pay back 1400 in return of iphone 6 even if glass has scratch or touchscreen is not working. But these bogus platform does not do what it shows. The delivery boy came & have not exchanged with the old phone saying glass has scratch & half of touchscreen is not working. Instead he forced to pay exchange value of Rs 3...READ MORE,1
Good..for normal user...handyREAD MORE,4
excellent phone must buy under 30 kREAD MORE,5
Nice small monster for performance.But in this price add charger adaptor and headphones also.READ MORE,4
Superb ... worth it ...📱👍🏼👌🏼READ MORE,5
"The delivery experience was smooth and fast. The phone is an excellent build with some amazing UI, but the one thing to notice is the fingerprint sensor which becomes quite tiring when used regularly as it needs a 'touch and press' to open over a 'touch' which I would have preferred.READ MORE",4
Amazing..READ MORE,5
GoodREAD MORE,5
Battery performance is worse than iPhone 8READ MORE,1
Nice product and fast deliveryREAD MORE,5
Battery drains so fastREAD MORE,3
"Good product i got it in 27999,wowREAD MORE",5
Overall it's a great phone. Superb built quality and camera is awesome. Only downside is display size. Big bezels make screen size very small.READ MORE,5
"Brought it for 27k , really worth itREAD MORE",5
osm productREAD MORE,5
Best deal by Flipkart iPhone se 2020 for 26k. Product has been delivered in one day. Excellent phone. Awesome performance. Only negative is battery.READ MORE,5
Awesome 🤙READ MORE,5
It's a good buy. If you want to experience the apple brand. I would suggest you to buy the product. Apple phones are actually good for around 3-4 years post that because of software updates they become quite slow. So a good phone if you usually change your phone post 3 years of usage.READ MORE,5
GoodREAD MORE,4
"Good,READ MORE",5
nice quality product😍READ MORE,5
Upgraded from 6s to SE. Got 128gb with  HDFC discount. Worth every penny. A13 chip is really fast.READ MORE,5
A great smartphone on this valueSomething there camera are osm❣️And preformes  are very goodREAD MORE,4
Just awesomeREAD MORE,5
Simply awesome .Apple iPhone 😍great productREAD MORE,5
I am loving thisREAD MORE,5
Good purchaseREAD MORE,5
Good just go for it Battery life is averageREAD MORE,5
Main or blem of draning battery in fast manner.. But this could be negated by using battery charging case if required..However overall experisnce is awesome with this device.Thanks to flip kart which made us to buy this device in such an imaginary price... Thanks a lots bbd..READ MORE,4
Not badREAD MORE,5
Very amazing phone.battery backup is also good. Wonderful purchase.READ MORE,5
Don't buy itREAD MORE,1
"As this is iPhone, generally no need for review, quality is at its best, only concen is battery back up, 1 day with full applications on, rest everything superbREAD MORE",5
This phone camera awesome battery performance AverageREAD MORE,5
"Product is good, however battery is big concernsREAD MORE",3
Awesome phone with awesome camera and awesome performance. Got this @24249.READ MORE,5
SatisfiedREAD MORE,4
Value for MoneyREAD MORE,5
Battery health is 97 in like 10 days wth appleREAD MORE,3
Good For those who want small deviceREAD MORE,4
the battery is very bad this phone and the second thing is not value for money .READ MORE,1
Performance is stunning except battery. Battery hardly last for continuous calls of 3-4 hours. As This is second mobile for me I am happy but if this is going to be your primary one think twice before you buy or buy along with powerbank.READ MORE,4
Beast packed in a small package.READ MORE,5
AwsomeREAD MORE,5
5 starREAD MORE,5
GoodREAD MORE,5
Good one if u r looking for small sizeREAD MORE,4
Good mobil I am purchase 24000 rs only thanks FlipkartREAD MORE,5
"This phone is best for the people who are low to moderate users, this phone is not for the gamers or the heavy users as battery drains quickly. Bought it for my mother and she is using it without any lag from the past 9 days!!!!!READ MORE",5
"Honest advice  :  Don't watch any tech reviewer's videos before buying this beast.I purchased this product on 6th June,2020 and here is my honest review :1. Device looks small but the way it works is truly amazing.2. if you are switching from ~6"" screen , it is going to be troublesome for a while.3. 1821  mah battery . 0 to 100% charging time is around 130 minutes. Fast charging/wireless charging is supported but fast charger is not included in box.4. Gaming Experience is amazing BUT p...READ MORE",4
I love SEREAD MORE,4
Ok good productREAD MORE,4
batary backup very worst and there are lots off network connection issues some times calls will not connect and u will not get callsREAD MORE,3
